date,ticker,sector,open,high,low,close,volume
2022-01-27,ALPHACORP,Finance,92.56,95.23,92.24,94.03,970401
2022-01-28,ALPHACORP,Finance,93.34,96.19,93.95,94.59,402676
2022-01-29,ALPHACORP,Finance,93.02,94.75,93.25,93.77,1825889
2022-01-30,ALPHACORP,Finance,91.93,95.25,90.81,93.39,3084729
2022-01-31,ALPHACORP,Finance,91.49,93.83,89.85,92.57,3477843
2022-02-01,ALPHACORP,Finance,94.96,96.99,94.07,95.17,451332
2022-02-02,ALPHACORP,Finance,94.77,95.26,93.77,95.18,2761928
2022-02-03,ALPHACORP,Finance,93.56,94.24,93.11,93.7,1403304
2022-02-04,ALPHACORP,Finance,94.21,96.56,92.91,94.88,4428305
2022-02-05,ALPHACORP,Finance,91.5,94.48,92.01,93.17,3660623
2022-02-06,ALPHACORP,Finance,92.49,94.84,93.45,93.49,2381486
2022-02-07,ALPHACORP,Finance,89.55,91.94,89.93,90.77,1313925
2022-02-08,ALPHACORP,Finance,87.24,89.98,87.65,88.99,583359
2022-02-09,ALPHACORP,Finance,88.05,90.89,88.46,89.28,293293
2022-02-10,ALPHACORP,Finance,89.52,90.98,90.04,90.3,1687116
2022-02-11,ALPHACORP,Finance,88.82,91.12,89.37,90.56,3586349
2022-02-12,ALPHACORP,Finance,88.77,92.02,88.74,90.43,2153730
2022-02-13,ALPHACORP,Finance,88.83,90.34,89.57,90.05,3556924
2022-02-14,ALPHACORP,Finance,86.67,89.03,86.66,88.08,830842
2022-02-15,ALPHACORP,Finance,85.58,87.64,85.44,87.15,1605743
2022-02-16,ALPHACORP,Finance,85.45,87.18,85.62,86.58,1783207
2022-02-17,ALPHACORP,Finance,87.56,88.14,87.27,87.97,3594955
2022-02-18,ALPHACORP,Finance,87.39,89.34,87.65,88.45,409612
2022-02-19,ALPHACORP,Finance,85.32,87.64,83.61,86.14,3541331
2022-02-20,ALPHACORP,Finance,85.25,88.05,84.66,86.59,4126664
2022-02-21,ALPHACORP,Finance,84.59,86.31,84.31,86.11,1866675
2022-02-22,ALPHACORP,Finance,83.61,86.29,83.14,85.26,1125536
2022-02-23,ALPHACORP,Finance,85.44,87.41,84.73,86.07,3437109
2022-02-24,ALPHACORP,Finance,86.44,87.47,87.41,87.43,1014100
2022-02-25,ALPHACORP,Finance,88.47,88.92,86.06,88.68,1569996
2022-02-26,ALPHACORP,Finance,85.89,88.94,85.67,87.59,856874
2022-02-27,ALPHACORP,Finance,86.51,88.45,87.11,87.21,3300299
2022-02-28,ALPHACORP,Finance,87.44,87.86,87.52,87.67,2079404
2022-03-01,ALPHACORP,Finance,88.64,90.01,87.29,88.97,3183650
2022-03-02,ALPHACORP,Finance,86.79,89.52,87.77,88.36,3936949
2022-03-03,ALPHACORP,Finance,86.76,88.85,87.64,88.14,4976288
2022-03-04,ALPHACORP,Finance,85.45,87.07,86.16,86.71,623219
2022-03-05,ALPHACORP,Finance,84.0,86.14,84.77,85.18,2200431
2022-03-06,ALPHACORP,Finance,85.05,87.01,84.29,86.24,4269040
2022-03-07,ALPHACORP,Finance,87.8,89.18,85.5,88.02,2272737
2022-03-08,ALPHACORP,Finance,86.6,89.4,87.47,87.95,1308559
2022-03-09,ALPHACORP,Finance,89.05,91.03,87.95,89.3,3114601
2022-03-10,ALPHACORP,Finance,89.21,91.26,88.83,89.81,3740539
2022-03-11,ALPHACORP,Finance,88.09,89.2,86.44,88.97,3446751
2022-03-12,ALPHACORP,Finance,89.34,91.07,88.16,89.48,4256173
2022-03-13,ALPHACORP,Finance,89.79,92.53,89.56,91.57,3017716
2022-03-14,ALPHACORP,Finance,90.81,92.81,91.53,91.55,4907336
2022-03-15,ALPHACORP,Finance,92.07,95.23,93.61,93.73,1507966
2022-03-16,ALPHACORP,Finance,89.92,90.48,89.21,90.07,567369
2022-03-17,ALPHACORP,Finance,89.53,92.36,88.93,91.21,2733642
2022-03-18,ALPHACORP,Finance,89.97,92.55,89.18,91.35,836565
2022-03-19,ALPHACORP,Finance,90.22,91.75,88.71,90.97,1920508
2022-03-20,ALPHACORP,Finance,90.33,91.56,91.11,91.12,4041574
2022-03-21,ALPHACORP,Finance,87.23,89.41,86.06,88.44,1894305
2022-03-22,ALPHACORP,Finance,87.23,89.2,86.96,88.17,790767
2022-03-23,ALPHACORP,Finance,87.31,89.59,86.83,88.67,2623368
2022-03-24,ALPHACORP,Finance,89.74,90.73,89.48,90.66,1150180
2022-03-25,ALPHACORP,Finance,88.31,91.46,88.93,89.98,3532812
2022-03-26,ALPHACORP,Finance,87.38,89.79,88.11,88.92,3207254
2022-03-27,ALPHACORP,Finance,87.38,89.96,86.36,88.28,2458059
2022-03-28,ALPHACORP,Finance,89.15,91.07,88.32,89.52,1302859
2022-03-29,ALPHACORP,Finance,88.82,90.39,89.31,89.98,810183
2022-03-30,ALPHACORP,Finance,87.6,89.65,87.94,89.3,3885037
2022-03-31,ALPHACORP,Finance,89.42,90.86,87.9,90.01,1737883
2022-04-01,ALPHACORP,Finance,89.35,90.95,89.04,90.17,3407275
2022-04-02,ALPHACORP,Finance,90.82,92.61,91.2,91.51,1135403
2022-04-03,ALPHACORP,Finance,89.17,91.01,88.67,90.57,807746
2022-04-04,ALPHACORP,Finance,89.28,91.25,88.36,90.15,3980420
2022-04-05,ALPHACORP,Finance,88.42,90.81,89.48,89.65,1324496
2022-04-06,ALPHACORP,Finance,87.22,87.79,85.74,87.71,1450221
2022-04-07,ALPHACORP,Finance,87.51,88.54,86.73,88.12,1628153
2022-04-08,ALPHACORP,Finance,86.82,89.68,85.86,88.49,657540
2022-04-09,ALPHACORP,Finance,88.05,89.43,88.06,88.53,3597879
2022-04-10,ALPHACORP,Finance,86.98,88.84,86.37,88.24,2056643
2022-04-11,ALPHACORP,Finance,84.89,87.86,86.29,86.4,1249473
2022-04-12,ALPHACORP,Finance,85.75,86.89,85.52,85.88,1004975
2022-04-13,ALPHACORP,Finance,84.38,86.28,83.92,85.46,403556
2022-04-14,ALPHACORP,Finance,83.44,84.89,82.88,84.46,721892
2022-04-15,ALPHACORP,Finance,83.7,85.7,84.07,84.28,865260
2022-04-16,ALPHACORP,Finance,83.76,85.2,83.26,84.82,4039345
2022-04-17,ALPHACORP,Finance,87.14,88.97,84.98,87.24,2093611
2022-04-18,ALPHACORP,Finance,86.01,87.5,87.05,87.49,3704545
2022-04-19,ALPHACORP,Finance,86.18,89.49,87.85,87.86,745516
2022-04-20,ALPHACORP,Finance,86.08,88.9,87.44,87.79,3101589
2022-04-21,ALPHACORP,Finance,84.82,85.37,85.0,85.29,3979136
2022-04-22,ALPHACORP,Finance,84.6,86.55,84.85,85.28,637488
2022-04-23,ALPHACORP,Finance,85.27,86.63,83.23,85.38,3286588
2022-04-24,ALPHACORP,Finance,87.0,89.93,86.35,88.56,748377
2022-04-25,ALPHACORP,Finance,87.98,89.07,87.84,88.33,981218
2022-04-26,ALPHACORP,Finance,87.22,89.95,86.45,88.76,1703891
2022-04-27,ALPHACORP,Finance,87.44,90.01,86.85,88.74,1028396
2022-04-28,ALPHACORP,Finance,85.96,87.64,84.86,87.21,2214256
2022-04-29,ALPHACORP,Finance,88.14,89.75,86.11,88.73,3087400
2022-04-30,ALPHACORP,Finance,88.69,89.96,87.69,89.76,2853217
2022-05-01,ALPHACORP,Finance,89.35,92.3,88.69,90.85,777993
2022-05-02,ALPHACORP,Finance,88.95,90.85,87.86,89.64,1939676
2022-05-03,ALPHACORP,Finance,90.9,92.23,89.4,91.55,340801
2022-05-04,ALPHACORP,Finance,88.7,91.1,88.54,89.65,1838164
2022-05-05,ALPHACORP,Finance,90.41,92.23,89.86,90.47,4140495
2022-05-06,ALPHACORP,Finance,92.03,95.15,92.61,93.47,3239057
2022-05-07,ALPHACORP,Finance,91.44,93.7,91.82,92.11,3660788
2022-05-08,ALPHACORP,Finance,91.0,92.98,90.23,91.35,4147409
2022-05-09,ALPHACORP,Finance,90.15,92.41,89.64,91.52,892060
2022-05-10,ALPHACORP,Finance,89.91,91.08,90.52,90.85,2715923
2022-05-11,ALPHACORP,Finance,88.08,89.29,86.96,88.77,2572733
2022-05-12,ALPHACORP,Finance,88.79,90.28,86.39,88.89,2691932
2022-05-13,ALPHACORP,Finance,85.94,89.09,86.37,87.5,2127370
2022-05-14,ALPHACORP,Finance,87.05,89.26,86.65,88.14,2623396
2022-05-15,ALPHACORP,Finance,86.18,88.21,84.76,86.96,579502
2022-05-16,ALPHACORP,Finance,88.35,90.63,86.57,89.0,886887
2022-05-17,ALPHACORP,Finance,86.8,89.21,86.24,87.98,4318720
2022-05-18,ALPHACORP,Finance,86.4,88.95,86.72,87.59,4463245
2022-05-19,ALPHACORP,Finance,87.2,90.11,87.09,88.68,2811216
2022-05-20,ALPHACORP,Finance,85.77,88.59,85.37,87.07,3736831
2022-05-21,ALPHACORP,Finance,87.08,87.51,87.34,87.39,4544958
2022-05-22,ALPHACORP,Finance,88.47,90.72,86.86,89.13,275936
2022-05-23,ALPHACORP,Finance,85.89,87.55,86.27,87.01,2180242
2022-05-24,ALPHACORP,Finance,86.83,87.96,85.83,87.28,2778547
2022-05-25,ALPHACORP,Finance,86.35,87.82,85.69,87.64,682541
2022-05-26,ALPHACORP,Finance,88.5,89.05,88.5,88.7,3819218
2022-05-27,ALPHACORP,Finance,85.95,88.08,84.67,87.08,3709865
2022-05-28,ALPHACORP,Finance,85.02,86.7,85.22,85.38,2184286
2022-05-29,ALPHACORP,Finance,85.56,87.42,83.5,86.07,4407235
2022-05-30,ALPHACORP,Finance,85.47,88.19,85.94,86.48,364578
2022-05-31,ALPHACORP,Finance,85.31,87.59,84.28,86.83,4054942
2022-06-01,ALPHACORP,Finance,86.43,87.89,87.03,87.31,4656995
2022-06-02,ALPHACORP,Finance,86.27,87.35,86.28,86.45,495431
2022-06-03,ALPHACORP,Finance,86.5,88.13,86.22,86.77,2802727
2022-06-04,ALPHACORP,Finance,86.12,87.38,85.52,87.18,1732824
2022-06-05,ALPHACORP,Finance,85.36,87.64,85.06,86.27,2487763
2022-06-06,ALPHACORP,Finance,87.77,90.25,87.28,88.71,3451361
2022-06-07,ALPHACORP,Finance,88.86,89.61,88.54,89.37,2504510
2022-06-08,ALPHACORP,Finance,86.47,87.84,87.24,87.8,1228453
2022-06-09,ALPHACORP,Finance,87.09,89.48,88.3,88.69,1738826
2022-06-10,ALPHACORP,Finance,86.68,88.09,85.39,87.42,2154569
2022-06-11,ALPHACORP,Finance,87.67,89.32,86.82,88.48,2503353
2022-06-12,ALPHACORP,Finance,88.85,90.53,88.02,90.04,4861852
2022-06-13,ALPHACORP,Finance,88.61,89.34,86.59,88.96,2581696
2022-06-14,ALPHACORP,Finance,90.04,90.87,89.52,90.28,115780
2022-06-15,ALPHACORP,Finance,90.05,91.93,89.88,90.86,439596
2022-06-16,ALPHACORP,Finance,91.14,93.04,91.15,92.01,702660
2022-06-17,ALPHACORP,Finance,93.52,95.65,93.97,94.65,3427062
2022-06-18,ALPHACORP,Finance,93.06,94.49,94.07,94.33,4084050
2022-06-19,ALPHACORP,Finance,91.49,93.42,92.55,93.3,4283210
2022-06-20,ALPHACORP,Finance,90.73,92.9,91.59,92.08,355463
2022-06-21,ALPHACORP,Finance,90.49,91.0,90.18,90.98,1288125
2022-06-22,ALPHACORP,Finance,89.45,91.08,89.23,90.9,1666691
2022-06-23,ALPHACORP,Finance,90.58,92.94,90.0,91.4,121564
2022-06-24,ALPHACORP,Finance,90.36,92.76,89.98,91.8,3219157
2022-06-25,ALPHACORP,Finance,91.6,94.47,90.19,92.97,4168648
2022-06-26,ALPHACORP,Finance,91.41,93.93,92.04,93.01,1153601
2022-06-27,ALPHACORP,Finance,93.32,95.77,93.43,95.07,2655589
2022-06-28,ALPHACORP,Finance,92.99,96.38,93.87,94.72,1140991
2022-06-29,ALPHACORP,Finance,97.66,99.2,96.9,98.61,3132511
2022-06-30,ALPHACORP,Finance,98.33,100.83,97.54,99.57,947357
2022-07-01,ALPHACORP,Finance,98.26,98.56,95.65,98.32,382769
2022-07-02,ALPHACORP,Finance,96.39,97.44,94.98,96.77,4320776
2022-07-03,ALPHACORP,Finance,97.1,99.15,96.66,97.5,3538893
2022-07-04,ALPHACORP,Finance,97.06,99.12,96.63,97.2,1679576
2022-07-05,ALPHACORP,Finance,97.23,98.51,97.59,98.27,1759158
2022-07-06,ALPHACORP,Finance,98.51,99.17,97.1,99.0,3508552
2022-07-07,ALPHACORP,Finance,98.89,100.57,96.17,98.92,2816895
2022-07-08,ALPHACORP,Finance,97.34,97.78,95.01,97.69,2310410
2022-07-09,ALPHACORP,Finance,94.16,97.31,94.83,95.5,4630995
2022-07-10,ALPHACORP,Finance,93.41,95.54,93.81,94.89,1839779
2022-07-11,ALPHACORP,Finance,96.13,98.05,95.77,96.14,3126688
2022-07-12,ALPHACORP,Finance,96.07,96.87,95.33,96.48,3079411
2022-07-13,ALPHACORP,Finance,93.1,95.55,94.01,94.7,1313628
2022-07-14,ALPHACORP,Finance,94.66,95.88,93.53,94.98,4777317
2022-07-15,ALPHACORP,Finance,94.39,96.19,95.48,95.55,469398
2022-07-16,ALPHACORP,Finance,94.2,95.81,92.37,94.32,822383
2022-07-17,ALPHACORP,Finance,93.94,94.82,91.83,94.56,2134764
2022-07-18,ALPHACORP,Finance,93.14,95.48,94.53,94.67,2987302
2022-07-19,ALPHACORP,Finance,91.63,94.86,90.96,93.08,4900996
2022-07-20,ALPHACORP,Finance,93.6,94.43,92.95,93.61,1645332
2022-07-21,ALPHACORP,Finance,93.56,95.38,92.03,94.42,4898147
2022-07-22,ALPHACORP,Finance,95.48,96.27,94.96,95.98,1729473
2022-07-23,ALPHACORP,Finance,96.99,99.44,95.2,97.53,4216328
2022-07-24,ALPHACORP,Finance,94.76,97.31,93.04,95.54,1655028
2022-07-25,ALPHACORP,Finance,93.51,95.17,91.89,94.23,3400102
2022-07-26,ALPHACORP,Finance,93.09,95.59,94.74,94.98,3961336
2022-07-27,ALPHACORP,Finance,94.14,96.43,95.63,95.75,2301672
2022-07-28,ALPHACORP,Finance,95.05,97.33,95.36,96.51,995813
2022-07-29,ALPHACORP,Finance,101.55,103.8,102.12,102.12,300060
2022-07-30,ALPHACORP,Finance,102.78,103.06,101.86,103.03,519590
2022-07-31,ALPHACORP,Finance,104.06,105.98,103.64,104.81,1883443
2022-08-01,ALPHACORP,Finance,106.33,106.94,106.01,106.34,2135959
2022-08-02,ALPHACORP,Finance,105.33,109.32,106.2,107.41,1172841
2022-08-03,ALPHACORP,Finance,105.15,108.94,104.75,106.94,1933322
2022-08-04,ALPHACORP,Finance,106.41,110.07,106.28,108.19,1188859
2022-08-05,ALPHACORP,Finance,106.07,107.16,104.64,106.97,1071984
2022-08-06,ALPHACORP,Finance,106.6,107.41,103.56,106.62,2748490
2022-08-07,ALPHACORP,Finance,105.14,106.73,105.15,105.87,258369
2022-08-08,ALPHACORP,Finance,104.29,106.59,105.46,106.03,3643538
2022-08-09,ALPHACORP,Finance,109.49,110.73,106.63,109.75,2218875
2022-08-10,ALPHACORP,Finance,104.84,108.47,106.37,106.71,1083213
2022-08-11,ALPHACORP,Finance,106.86,108.35,104.89,107.84,4883986
2022-08-12,ALPHACORP,Finance,103.66,107.14,102.5,105.26,3033186
2022-08-13,ALPHACORP,Finance,103.96,104.99,103.0,104.55,1260799
2022-08-14,ALPHACORP,Finance,104.5,108.38,104.7,106.29,2436475
2022-08-15,ALPHACORP,Finance,104.86,108.36,105.54,106.42,3059826
2022-08-16,ALPHACORP,Finance,104.71,105.88,103.05,104.73,4522867
2022-08-17,ALPHACORP,Finance,103.21,103.84,103.44,103.64,3173863
2022-08-18,ALPHACORP,Finance,104.02,106.77,104.05,104.73,1687532
2022-08-19,ALPHACORP,Finance,102.01,103.63,102.43,103.61,4459303
2022-08-20,ALPHACORP,Finance,102.16,105.49,103.64,103.98,203791
2022-08-21,ALPHACORP,Finance,102.76,104.47,101.81,104.08,404116
2022-08-22,ALPHACORP,Finance,102.86,103.95,101.61,103.1,1295529
2022-08-23,ALPHACORP,Finance,105.49,106.59,103.65,106.44,3528299
2022-08-24,ALPHACORP,Finance,107.12,108.54,107.18,107.49,2614935
2022-08-25,ALPHACORP,Finance,104.17,104.69,103.24,104.25,4812689
2022-08-26,ALPHACORP,Finance,103.46,105.17,103.92,104.58,4625842
2022-08-27,ALPHACORP,Finance,103.33,104.97,103.41,103.57,1256444
2022-08-28,ALPHACORP,Finance,104.29,106.6,102.24,104.92,219454
2022-08-29,ALPHACORP,Finance,102.21,105.28,102.71,103.71,1482631
2022-08-30,ALPHACORP,Finance,103.26,104.86,103.47,103.56,4417878
2022-08-31,ALPHACORP,Finance,103.78,105.64,102.67,104.38,2799348
2022-09-01,ALPHACORP,Finance,105.72,106.64,103.81,105.76,4824867
2022-09-02,ALPHACORP,Finance,102.47,104.92,101.91,103.89,4153260
2022-09-03,ALPHACORP,Finance,101.91,104.15,102.74,103.4,3537760
2022-09-04,ALPHACORP,Finance,102.43,102.94,99.81,102.7,4554894
2022-09-05,ALPHACORP,Finance,100.46,101.99,100.69,101.72,403544
2022-09-06,ALPHACORP,Finance,102.46,104.66,102.91,104.44,933778
2022-09-07,ALPHACORP,Finance,104.96,107.11,103.17,105.11,3593650
2022-09-08,ALPHACORP,Finance,102.05,103.84,102.07,103.15,1824790
2022-09-09,ALPHACORP,Finance,104.41,104.83,101.48,104.6,3550614
2022-09-10,ALPHACORP,Finance,107.59,108.46,107.23,107.97,1885017
2022-09-11,ALPHACORP,Finance,107.95,110.76,106.46,109.67,4733082
2022-09-12,ALPHACORP,Finance,105.93,108.79,104.06,107.2,1737060
2022-09-13,ALPHACORP,Finance,106.25,107.57,104.48,106.46,2301353
2022-09-14,ALPHACORP,Finance,107.42,109.61,106.4,108.51,2785520
2022-09-15,ALPHACORP,Finance,106.03,107.99,104.29,107.39,3611979
2022-09-16,ALPHACORP,Finance,107.39,108.54,108.04,108.14,1409329
2022-09-17,ALPHACORP,Finance,107.81,110.3,107.44,109.43,3350312
2022-09-18,ALPHACORP,Finance,107.38,109.57,106.25,107.94,815443
2022-09-19,ALPHACORP,Finance,106.69,108.26,105.55,107.88,2825920
2022-09-20,ALPHACORP,Finance,101.2,103.02,102.02,102.66,4517974
2022-09-21,ALPHACORP,Finance,100.82,102.46,98.56,101.12,4553916
2022-09-22,ALPHACORP,Finance,100.21,102.68,98.04,100.76,2811757
2022-09-23,ALPHACORP,Finance,98.76,100.14,97.59,98.91,1571974
2022-09-24,ALPHACORP,Finance,100.5,103.24,98.39,101.36,4058818
2022-09-25,ALPHACORP,Finance,98.51,100.37,98.03,99.22,4606888
2022-09-26,ALPHACORP,Finance,98.1,98.63,97.47,98.59,4594699
2022-09-27,ALPHACORP,Finance,98.48,99.28,96.1,98.81,1777561
2022-09-28,ALPHACORP,Finance,100.62,101.56,98.9,100.98,2793658
2022-09-29,ALPHACORP,Finance,97.11,99.55,96.14,98.84,2235519
2022-09-30,ALPHACORP,Finance,100.21,101.36,98.73,100.59,2071790
2022-10-01,ALPHACORP,Finance,100.01,100.94,99.31,100.64,1478681
2022-10-02,ALPHACORP,Finance,97.74,99.53,97.29,99.18,717111
2022-10-03,ALPHACORP,Finance,99.09,100.4,99.26,99.9,312568
2022-10-04,ALPHACORP,Finance,98.28,101.61,98.47,100.23,3443017
2022-10-05,ALPHACORP,Finance,97.99,100.17,96.77,99.36,3347555
2022-10-06,ALPHACORP,Finance,97.85,101.17,98.82,99.49,567388
2022-10-07,ALPHACORP,Finance,97.01,99.63,98.24,98.95,1337584
2022-10-08,ALPHACORP,Finance,98.01,100.34,96.29,99.14,3596000
2022-10-09,ALPHACORP,Finance,99.58,101.63,98.85,100.16,1410879
2022-10-10,ALPHACORP,Finance,101.51,104.53,101.5,102.57,3151845
2022-10-11,ALPHACORP,Finance,99.74,102.11,98.4,100.7,3652972
2022-10-12,ALPHACORP,Finance,102.77,105.33,102.06,103.95,266383
2022-10-13,ALPHACORP,Finance,99.54,102.91,99.12,100.94,3335882
2022-10-14,ALPHACORP,Finance,99.14,102.52,100.56,100.74,372394
2022-10-15,ALPHACORP,Finance,100.81,103.28,101.27,101.66,2642792
2022-10-16,ALPHACORP,Finance,101.06,103.2,99.37,102.12,1984546
2022-10-17,ALPHACORP,Finance,99.67,102.58,98.39,101.19,3791640
2022-10-18,ALPHACORP,Finance,100.44,102.06,98.06,100.91,4767482
2022-10-19,ALPHACORP,Finance,100.01,100.64,98.03,100.19,4561163
2022-10-20,ALPHACORP,Finance,97.35,100.73,96.44,99.34,2424660
2022-10-21,ALPHACORP,Finance,99.8,102.13,100.35,100.63,1292485
2022-10-22,ALPHACORP,Finance,101.17,102.22,98.45,101.2,2788623
2022-10-23,ALPHACORP,Finance,98.71,101.34,98.31,100.18,3709807
2022-10-24,ALPHACORP,Finance,99.76,101.83,101.16,101.56,1519695
2022-10-25,ALPHACORP,Finance,100.87,103.46,101.81,102.06,3810475
2022-10-26,ALPHACORP,Finance,103.31,104.45,102.08,103.33,3342255
2022-10-27,ALPHACORP,Finance,103.88,106.4,103.23,104.34,2529633
2022-10-28,ALPHACORP,Finance,102.25,104.41,102.87,103.07,1525811
2022-10-29,ALPHACORP,Finance,100.66,102.53,100.34,102.24,4195104
2022-10-30,ALPHACORP,Finance,102.29,104.69,100.5,103.42,1693554
2022-10-31,ALPHACORP,Finance,102.75,105.9,102.65,104.39,3039983
2022-11-01,ALPHACORP,Finance,103.56,104.67,103.36,104.39,3260262
2022-11-02,ALPHACORP,Finance,102.75,105.27,103.38,104.61,4963823
2022-11-03,ALPHACORP,Finance,105.66,107.51,103.55,106.64,3446704
2022-11-04,ALPHACORP,Finance,104.11,107.55,105.42,105.73,4687796
2022-11-05,ALPHACORP,Finance,104.71,107.6,105.56,106.63,1715070
2022-11-06,ALPHACORP,Finance,104.51,107.63,104.59,106.34,2275922
2022-11-07,ALPHACORP,Finance,105.36,106.53,104.43,106.02,4697349
2022-11-08,ALPHACORP,Finance,106.99,109.09,107.18,107.8,4643675
2022-11-09,ALPHACORP,Finance,107.39,110.45,107.95,109.17,869245
2022-11-10,ALPHACORP,Finance,110.52,111.06,108.96,110.53,1630773
2022-11-11,ALPHACORP,Finance,112.26,114.96,112.66,112.73,615137
2022-11-12,ALPHACORP,Finance,111.24,114.74,111.73,112.8,3546204
2022-11-13,ALPHACORP,Finance,111.96,115.13,111.7,113.99,4492491
2022-11-14,ALPHACORP,Finance,112.51,113.82,110.5,113.49,1843511
2022-11-15,ALPHACORP,Finance,113.96,116.11,111.56,114.08,4478826
2022-11-16,ALPHACORP,Finance,113.47,114.44,112.69,113.89,4828019
2022-11-17,ALPHACORP,Finance,112.59,115.72,112.35,114.09,1721920
2022-11-18,ALPHACORP,Finance,114.34,116.56,113.94,115.14,3658135
2022-11-19,ALPHACORP,Finance,112.68,114.68,111.11,113.76,2372413
2022-11-20,ALPHACORP,Finance,116.23,118.44,114.89,117.37,2355570
2022-11-21,ALPHACORP,Finance,115.17,117.88,113.27,115.63,2979554
2022-11-22,ALPHACORP,Finance,112.07,114.29,113.0,113.56,3468567
2022-11-23,ALPHACORP,Finance,113.89,116.45,113.42,115.57,739281
2022-11-24,ALPHACORP,Finance,116.63,117.99,114.22,116.97,4387764
2022-11-25,ALPHACORP,Finance,117.23,120.17,116.65,118.11,1389419
2022-11-26,ALPHACORP,Finance,117.35,120.08,116.56,119.25,4299377
2022-11-27,ALPHACORP,Finance,118.52,119.4,116.55,119.27,1179131
2022-11-28,ALPHACORP,Finance,116.79,119.97,114.82,117.7,3502198
2022-11-29,ALPHACORP,Finance,117.07,119.7,116.78,117.87,2333478
2022-11-30,ALPHACORP,Finance,114.46,119.0,113.33,116.71,3552901
2022-12-01,ALPHACORP,Finance,117.92,119.24,118.09,118.45,4501064
2022-12-02,ALPHACORP,Finance,116.14,120.45,116.81,118.22,2737080
2022-12-03,ALPHACORP,Finance,115.4,117.58,116.58,116.79,2692368
2022-12-04,ALPHACORP,Finance,115.83,118.09,114.54,116.27,3784918
2022-12-05,ALPHACORP,Finance,114.98,118.19,116.6,117.02,3816340
2022-12-06,ALPHACORP,Finance,115.22,116.91,114.12,116.07,2307421
2022-12-07,ALPHACORP,Finance,113.44,116.31,113.1,114.67,4187464
2022-12-08,ALPHACORP,Finance,113.61,116.34,112.39,115.12,1475798
2022-12-09,ALPHACORP,Finance,114.64,116.75,114.0,115.58,3573220
2022-12-10,ALPHACORP,Finance,112.47,116.64,114.45,114.74,4502742
2022-12-11,ALPHACORP,Finance,113.88,114.48,111.26,113.96,830569
2022-12-12,ALPHACORP,Finance,112.51,116.07,114.37,114.39,3681925
2022-12-13,ALPHACORP,Finance,110.23,113.72,109.13,111.94,2164422
2022-12-14,ALPHACORP,Finance,107.94,109.93,106.51,109.61,2433286
2022-12-15,ALPHACORP,Finance,107.45,110.42,108.43,108.46,381590
2022-12-16,ALPHACORP,Finance,107.05,108.7,106.47,108.15,2681556
2022-12-17,ALPHACORP,Finance,106.76,109.44,106.19,108.68,1528898
2022-12-18,ALPHACORP,Finance,110.35,112.63,110.32,111.12,1162055
2022-12-19,ALPHACORP,Finance,111.54,112.61,109.56,112.59,337016
2022-12-20,ALPHACORP,Finance,111.39,113.12,110.91,112.35,4672357
2022-12-21,ALPHACORP,Finance,112.05,112.65,111.58,112.35,1625049
2022-12-22,ALPHACORP,Finance,108.76,110.75,110.01,110.69,2139757
2022-12-23,ALPHACORP,Finance,108.62,112.63,107.55,110.7,773153
2022-12-24,ALPHACORP,Finance,109.53,112.09,107.97,110.25,3125200
2022-12-25,ALPHACORP,Finance,109.96,112.92,110.57,110.82,3565139
